"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"National Professional Development Program","Office of Elementary and Secondary Education","","2026-07-14","2026-05-15","1000000","49000000","","Public and State controlled institutions of higher education","82","DOL-OESE-34120","https://www.ed.gov/grants-and-programs/teacher-preparation-grants/national-professional-development-program","professional development; higher education","The NPD program provides grants to public and private nonprofit institutions of higher education (IHEs) and public and private entities with relevant experience and capacity, in consortia with State educational agencies (SEAs) and/or local educational agencies (LEAs) to implement pre-service and in-service professional development activities."
"Improving Undergraduate STEM Education: Directorate for STEM Education","U.S. National Science Foundation","","2026-07-15","2022-10-20","2000000","61000000","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","100","23-510","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23510","open; learning; evidence; workforce; professional development; stem; higher education; undergraduate","Synopsis of Program: The fields of science, technology, engineering, and mathematics (STEM) hold much promise as sectors of the economy where we can expect to see continuous vigorous growth in the coming decades. STEM job creation is expected to outpace non-STEM job creation significantly, according to the Commerce Department, reflecting the importance of STEM knowledge to the US economy. The National Science Foundation (NSF) plays a leadership role in developing and implementing efforts to enhance and improve STEM education in the United States. Through the NSF Improving Undergraduate STEM Education (IUSE) initiative, the agency continues to make a substantial commitment to the highest caliber undergraduate STEM education through a Foundation-wide framework of investments. The IUSE: EDU is a core NSF STEM education program that seeks to promote novel, creative, and transformative approaches to generating and using new knowledge about STEM teaching and learning to improve STEM education for undergraduate students. The program is open to application from all institutions of higher education and associated organizations. NSF places high value on educating students to be leaders and innovators in emerging and rapidly changing STEM fields as well as educating a scientifically literate public. In pursuit of this goal, IUSE: EDU supports projects that seek to bring recent advances in STEM knowledge into undergraduate education, that adapt, improve, and incorporate evidence-based practices into STEM teaching and learning, and that lay the groundwork for institutional improvement in STEM education. In addition to innovative work at the frontier of STEM education, this program also encourages replication of research studies at different types of institutions and with different student bodies to produce deeper knowledge about the effectiveness and transferability of findings. IUSE: EDU also seeks to support projects that have high potential for broader societal impacts, including improved diversity of students and instructors participating in STEM education, professional development for instructors to ensure adoption of new and effective pedagogical techniques that meet the changing needs of students, and projects that promote institutional partnerships for collaborative research and development. IUSE: EDU especially welcomes proposals that will pair well with the efforts of NSF INCLUDES ( https://www.nsf.gov/news/special_reports/nsfincludes/index.jsp ) to develop STEM talent from all sectors and groups in our society. For all the above objectives, the National Science Foundation invests primarily in evidence-based and knowledge-generating approaches to understand and improve STEM learning and learning environments, improve the diversity of STEM students and majors, and prepare STEM majors for the workforce. In addition to contributing to STEM education in the host institution(s), proposals should have the promise of adding more broadly to our understanding of effective teaching and learning practices. The IUSE: EDU program features two tracks: (1) Engaged Student Learning and (2) Institutional and Community Transformation."
"Linguistics","U.S. National Science Foundation","","2026-07-15","2009-03-06","","6000000","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","90","PD-98-1311","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5408","infrastructure; learning; career; science","The Linguistics Program supports basic science in the domain of human language, encompassing investigations of the grammatical properties of individual human languages, and of natural language in general. Research areas include syntax, semantics, morphology, phonetics and phonology. The program encourages projects that are interdisciplinary in methodological or theoretical perspective, and that address questions that cross disciplinary boundaries, such as (but not limited to): What are the psychological processes involved in the production, perception, and comprehension of language? What are the computational properties of language and/or the language processor that make fluent production, incremental comprehension or rapid learning possible? How do the acoustic and physiological properties of speech inform our theories of natural language and/or language processing? What role does human neurobiology play in shaping the various grammatical properties of language? How does language develop in natural learning contexts across the life-span? What social and cultural factors underlie language variation and change? Because NSF's mandate is to support basic research, the Linguistics Program does not fund research that takes as its primary goal improved clinical practice or applied policy, nor does it support work to develop or assess pedagogical methods or tools for language instruction. The Linguistics Program accepts proposals for a variety of project types: research proposals from scholars with PhDs or equivalent degrees, proposals for Doctoral Dissertation Research Improvement (LING-DDRI) awards, and CAREER proposals. We will also consider proposals for conferences. Funding requests for conference support should be submitted in accordance with the Conference Proposals section of Chapter II of NSF's Proposal & Award Policies & Procedures Guide (PAPPG) . NSF's Division of Behavioral and Cognitive Sciences (BCS), in partnership with the National Endowment for the Humanities and in collaboration with programs in other NSF Directorates, supports efforts to develop and advance knowledge and infrastructure that will enable the analysis of languages that are both understudied and at risk of falling out of use. In recognition of the critical relevance of these languages to understanding the range and limits of human linguistic and cultural variation, BCS accepts research and dissertation proposals in response to solicitations NSF Dynamic Language Infrastructure - NEH Documenting Endangered Languages (DLI-DEL) and Dynamic Language Infrastructure - Doctoral Dissertation Research Improvement Grants (DLI-DDRI) . For more information about Multidisciplinary Research and Training Opportunities, please visit the SBE Office of Multidisciplinary Activities web site."
"Office of Postsecondary Education (OPE):Mutual Educational and Cultural Exchange (MECE) Program, Assistance Listing Number 84.021C","Holly Clark Management and Program Analyst","","2026-07-15","2026-06-15","","10193170","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","50","ED-GRANTS-061526-001","https://www.ed.gov/grants-and-programs/grants-higher-education/international-and-foreign-language-education/centers-aligned-areas-national-need-caann-program-84015c","postsecondary","Program Description: In coordination with the Bureau of Educational and Cultural Affairs at the U.S. Department of State (State), the U.S. Department of Education (ED) is soliciting applications in support of the administration of the Mutual Educational and Cultural Exchange (MECE) program. The purpose of the program is to promote, improve, and develop the study of modern foreign language training and area studies in U.S. schools, colleges, and universities by supporting visits and study in foreign countries by teachers and prospective teachers. The program provides opportunities for teachers and prospective teachers to improve their skill in languages, their knowledge of the culture of the people of other countries, and finances visits by teachers from those other countries to the United States for the purpose of participating in foreign language training and area studies in U.S. schools, colleges, and universities. Assistance Listing Number: 84.021C Applicants are required to follow the 2025 Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions ."
"TechAccess: AI-Ready America","U.S. National Science Foundation","","2026-07-16","2026-03-25","4000000","224000000","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","100","26-508","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26508","ai; artificial intelligence; learning; workforce; implementation; district; upskilling; science","TechAccess: AI-Ready America is a national-scale initiative to accelerate Artificial Intelligence (AI) readiness and adoption across the U.S. by strengthening coordination, leveraging partnerships and resources, filling gaps, and scaling what works-so local and state priorities can lead in shaping an AI-driven economy that benefits all Americans. Unlike initiatives centered around K-16 education, AI-Ready America additionally reaches businesses, public-serving organizations, and individuals, among others, expanding access to AI knowledge, tools, and resources. The program also emphasizes practical implementation through hands-on assistance and workforce upskilling, including experiential learning such as internships, project-based work, and apprenticeships, to ensure stakeholders can effectively apply and innovate with AI. The program supports: (1) State/Territory Coordination Hubs (Coordination Hubs) - one inevery state, the District of Columbia (DC), or territory inthe United States - connecting partners, strengthening planning and deployment, and rapidly scaling approaches; (2) A National Coordination Lead (National Lead) - facilitating collaboration and knowledge sharing among Coordination Hubs, coordinating priority economic sectors, and informing national AI strategies; and (3) AI-Ready Catalyst Award Competitions - a series of topic-driven competitions issued over the course of the program to pilot and scale innovative approaches that address critical national AI readiness needs. This funding opportunity focuses on Coordination Hubs. The National Lead will be funded as an Other Transaction (OT) offered through an Other Transaction Agreement Solutions Offering.AI-Ready Catalyst Award Competitions will be announced through an NSF-approved mechanism, with proposals submitted according to the instructions provided at the time of announcement."
"OSERS-OSEP: National Assessment Center, Assistance Listing Number (ALN) 84.326G","Holly Clark Management and Program Analyst","","2026-07-20","2026-05-20","1000000","1000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","68","ED-GRANTS-052026-001","https://www.grants.gov/search-results-detail/362496","learning; assessment","Program Description: The purpose of this grant competition is to establish a National Assessment Center to improve children with disabilities’ participation in and performance on State and districtwide assessments. This award is funded under the Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities program. The goal of this program is to promote academic achievement and to improve results for children with disabilities by providing technical assistance (TA), supporting model demonstration projects, disseminating useful information, and implementing activities supported by scientifically based research. This award aligns to requirements in the Individuals with Disabilities Education Act (IDEA). Specifically, section 612(a)(16) requires that all children with disabilities are included with appropriate accommodations in general State and districtwide assessments as indicated in their individualized education programs, including assessments described under section 1111 of the Elementary and Secondary Education Act (ESEA) and alternate assessments. Many States have also adopted kindergarten entry assessments to assess multiple developmental domains and support early learning. Additionally, Section 663(b)(2) of IDEA requires that the Secretary use funds to support activities to improve the participation of children with disabilities in State assessments. ALN: 84.326G. Applicants are required to follow the 2025 Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions . Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage ."
"EPSCoR Research Infrastructure Improvement Program: EPSCoR Collaborations for Optimizing Research Ecosystems","U.S. National Science Foundation","","2026-07-21","2024-12-14","","37500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","25-523","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25523","infrastructure; evidence; workforce; stem; k-12; higher education; career; workforce development","The Established Program to Stimulate Competitive Research (EPSCoR) supports the U.S. National Science Foundation (NSF) mission by promoting nationwide scientific progress. Through this program, NSF fosters partnerships among academic institutions, government entities, industry, and non-profits. These collaborations aim to drive long-term improvements in research infrastructure, enhance R&D capacity, and boost the research competitiveness of eligible EPSCoR jurisdictions, including states, territories, and commonwealths. A jurisdiction's research ecosystem is the interconnected network of organizations, researchers, trainees, community stakeholders, and resources that contribute to the process of research and innovation that advances fundamental knowledge, generates use-inspired products, and ultimately cultivates beneficial impacts for a jurisdiction. E-CORE supports jurisdictions in building significant and sustainable research capacity and research infrastructure for targeted areas of focus, hereinafter referred to as ""cores,"" that underlie a jurisdiction's research ecosystem. Based on the evidence-based and self-identified needs of a jurisdiction, the types of cores supported by E-CORE may include (but are not limited to) development, enhancement, and/or ensuring the sustainability of: research administration; research facilities and infrastructure (including cyberinfrastructure); STEM education (K-12) pathways; higher education pathways; early career investigator pathways; broadening participation; workforce development; national and global partnerships; community engagement and outreach; technology transfer; economic development; and use-inspired research pathways. E-CORE projects must be designed to support the sustainability of the research infrastructure cores beyond the award period. Projects will also support the development and growth of new jurisdiction-wide connections, and the leveraging of existing jurisdiction-wide connections, to drive substantive and sustainable impacts."
"CyberAICorps Scholarship for Service","U.S. National Science Foundation","","2026-07-21","2026-02-04","2500000","2500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","92","26-503","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26503","ai; artificial intelligence; workforce; stem; higher education; workforce development; science; pathways","Government and the nation face a talent shortfall in artificial intelligence (AI) and cybersecurity. The CyberAICorps Scholarship for Service (CyberAI SFS) program welcomes proposals that address AI and cybersecurity education and workforce development. CyberAI refers to using AI in cybersecurity as well as providing security and resilience for AI systems. The Scholarship Track provides funding to establish, or to continue, scholarship for service programs with integrated AI and cybersecurity components (CyberAI). Scholarship recipients must be U.S. citizens or lawful permanent residents and work after graduation in the AI or cybersecurity mission of a government organization for a period of at least the length of the scholarship. The Innovation Tracksupports projects that enhance preparation of AI and/or cybersecurity professionals. Projects may expand existing educational opportunities, curricula, degree programs, educational pathways, methods and interventions, and partnerships among institutions of higher education, government, and employers. Two statutesauthorize this program: 15 USC &sect;7442 (cybersecurity) and 42 USC &sect;18993 (AI). CyberAI SFS aligns with the Executive Order 14277 to prioritize AI within scholarship for service programs. CyberAI is managed by NSF's Directorate for STEM Education in collaboration with the U.S. Office of Personnel Management (OPM) and U.S. Department of Homeland Security (DHS)."
"Faculty Early Career Development Program","U.S. National Science Foundation","","2026-07-22","2022-04-19","","250000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","76","22-586","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf22586","career; science; technology; engineering","CAREER:The Faculty Early Career Development (CAREER) Program is a Foundation-wide activity that offers the National Science Foundation's most prestigious awards in support of early-career faculty who have the potential to serve as academic role models in research and education and to lead advances in the mission of their department or organization. Activities pursued by early-career faculty should build a firm foundation for a lifetime of leadership in integrating education and research. NSF encourages submission of CAREER proposals from early-career faculty at all CAREER-eligible organizations . PECASE:Each year NSF selects nominees for the Presidential Early Career Awards for Scientists and Engineers (PECASE) from among the most meritorious recent CAREER awardees.Selection for this award is based on twoimportant criteria:The criteria are 1) performance of innovative research at the frontiers of science, engineering, and technology that is relevant to the mission of the sponsoring organization or agency; and 2) community service demonstrated through scientific leadership, education or community outreach.These awards foster innovative developments in science and technology, increase awareness of careers in science and engineering, give recognition to the scientific missions of the participating agencies, enhance connections between fundamental research and national goals, and highlight the importance of science and technology for the Nation's future. Individuals cannot apply for PECASE. These awards are initiated by the participating federal agencies. At NSF, up to twenty-six nominees for this award are selected each year from among the PECASE-eligible CAREER awardees most likely to become the leaders of academic research and education in the twenty-first century. The White House Office of Science and Technology Policy makes the final selection and announcement of the awardees."
"Integrated Data Systems & Services","U.S. National Science Foundation","","2026-07-28","2026-04-15","30000000","60000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","90","26-509","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26509","artificial intelligence; data; open; science; engineering","The Integrated Data Systems and Services (IDSS) program supports operations-level national-scale cyberinfrastructure systems and services that broadly advance and facilitate open, data-intensive and artificial intelligence-driven science and engineering research, innovation, and education. Through this solicitation, the IDSS program is accepting proposals for three categories of projects: Category I . Development, deployment, and operation of novel national-scale integrated data systems and services, which may include interfacing with or leveraging other existing capabilities, systems and services, as appropriate to the project; Category II. Transition of established smaller scale, regional, pilot, or prototype data-focused systems and services to national-scale production/operational quality/level. This may also include enhancement and expansion of existing national-scale data-focused operational systems and services; and Category III. Planning grants for future potential development/deployment or transition/enhancement IDSS projects. NSF and the Office of Advanced Cyberinfrastructure (OAC) have long supported the development of innovative foundational and application-specific cyberinfrastructure resources and systems to address data-intensive research needs at the campus, regional, and community scales, through programs such as Cyberinfrastructure for Sustained Scientific Innovation (CSSI) , Campus Cyberinfrastructure (CC*) , and other investments. The primary goal of the IDSS program is to support national-scale foundational data cyberinfrastructure that broadly enables data- and artificial intelligence-driven research for many communities. The IDSS program supports foundational transdisciplinary and demonstrably multi-disciplinary projects aimed to broadly impact the science and engineering research and education community. Projects that aim to primarily benefit a single science discipline, domain, project, or application are not supported. It is recommended that prospective PIs contact program officer(s) from the list of Cognizant Program Officers to gain insight about alignment of their project ideas with the priorities of the IDSS program and Office of Advanced Cyberinfrastructure. As part of contacting Cognizant Program Officers, prospective PIs are also encouraged to ascertain that the focus and budget of their proposed work are appropriate for this solicitation."
"OSERS-OSEP: National Technical Assistance Center for Postsecondary Education and Training for Individuals who are Deaf or Hard of Hearing, Assistance Listing Number 84.326D","Holly Clark Management and Program Analyst","","2026-07-30","2026-06-01","4000000","4000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","68","ED-GRANTS-060126-001","https://www.grants.gov/search-results-detail/362632","postsecondary; adult education; technology","Program Description- The Individuals with Disabilities Education Act (IDEA) requires the Secretary to provide annually at least $4,000,000 to address the postsecondary, vocational, technical, continuing, and adult education needs of individuals who are deaf or hard of hearing. [1] Aligned with this requirement, through this competition the Department intends to establish a National Technical Assistance Center for Postsecondary Education and Training for Individuals who are Deaf or Hard of Hearing. This competition uses funds from three Department programs: the Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities (TA&D) program; the Personnel Development to Improve Services and Results for Children with Disabilities (PD) program; and the Educational Technology, Media, and Materials for Individuals with Disabilities (ETechM2) program. Assistance Listing Number: 84.326D. [1] See IDEA Section 682(d)(1)(B). Applicants are required to follow the 2025 Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions ."
