url,resource_name,rejected_from,rejected_date,reason
https://aied2024.org,AIED: aied2024.org Conference Proceedings,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://aied2023.org,AIED: aied2023.org Conference Proceedings,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://platform.k12-ai-infrastructure.org/,Education Platform: K-12 AI Infrastructure,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://www.conceptnet.io/,Education Platform: Common Sense Knowledge Leaderboard,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2608.02409v1,ArXiv: MonitrLLM: A Community-Centered Evaluation Infrastructure for Large Language Mod,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2608.01193v1,ArXiv: Humans Are More Diverse: Frontier LLMs Show Extreme Policies in Idealised AI Dev,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2608.00749v1,ArXiv: A Protocol for Evaluating the Accessibility of AI-Generated Educational Material,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2607.26159v1,ArXiv: When benchmark inferences do not compose: Projectibility in AI evaluation,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2607.26121v1,ArXiv: Towards Trustworthy Embodied Intelligence: A Systems Framework and Graded Trustw,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2607.25425v1,ArXiv: The Disruptive Impact of Large Language Models on Capture the Flag Competitions ,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2607.23319v1,ArXiv: BHARATI: Morphology-Aware Tokenizers for Classical Indian Languages with Subword,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://openreview.net/search?term=education+benchmark&venue=ICLR.cc/2024,OpenReview: ICLR.cc/2024 Education Benchmarks,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://openreview.net/search?term=education+benchmark&venue=NeurIPS.cc/2024,OpenReview: NeurIPS.cc/2024 Education Benchmarks,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://github.com/arm-education/arm-gem5-rsk,GitHub: arm-gem5-rsk,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://rajpurkar.github.io/SQuAD-explorer/,AI2: SQuAD Benchmark,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://github.com/hendrycks/test,AI2: MMLU Benchmark,Benchmark,2026-09-08,Removed during manual review - not a K-12 AI resource
https://www.drivendata.org/competitions/,DrivenData: K-12 Education Competitions,Coming Soon,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2607.29527v1,ArXiv: TerraNova: A Foundation Model for the Anthropocene,Coming Soon,2026-09-08,Removed during manual review - not a K-12 AI resource
https://github.com/huggingface/transformers/releases/tag/v5.14.0,GitHub transformers: Release v5.14.0,Coming Soon,2026-09-08,Removed during manual review - not a K-12 AI resource
https://openai.com/index/chatgpt-for-academic-researchers/,"Accelerating scientific discovery with ChatGPT for Academic Researchers Company Jul 29, 2026",Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/index/scientific-computing-agentic-ai/,"Scientific computing in the age of agentic AI Publication Jul 28, 2026",Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://www.semanticscholar.org,Semantic Scholar,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/news/ai-adoption/,AI Adoption,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/index/advancing-the-price-performance-frontier-with-gpt-5-6/,"Advancing the price-performance frontier with GPT 5.6 Product Jul 30, 2026",Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/news/applied-ai/,Applied AI,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/index/building-abundant-intelligence/,"Building abundant intelligence Company Jul 31, 2026",Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/business/,Business,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/about/,Company,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/news/company-announcements/,Company,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/api/,Developers,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/news/engineering/,Engineering,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openaifoundation.org,Foundation (opens in a new window),Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/news/global-affairs/,Global Affairs,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/index/gpt-5-6-frontier-intelligence-efficiency/,"How GPT-5.6 fuses frontier intelligence with frontier efficiency Engineering Jul 29, 2026",Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/news/product-releases/,Product,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/research/index/,Research,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/news/research/,Research,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/news/safety-alignment/,Safety,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://openai.com/news/security/,Security,Dataset,2026-09-08,Scraped site navigation / homepage - not a dataset
https://allenai.org/ai-for-science,All projects,Dataset,2026-09-08,"Site navigation label, not a resource"
https://paperswithcode.com/datasets,Datasets,Dataset,2026-09-08,"Site navigation label, not a resource"
https://learningcommons.org/curriculum-sync/,Curriculum Sync,Dataset,2026-09-08,"Site navigation label, not a resource"
https://paperswithcode.com/papers,Daily Papers,Dataset,2026-09-08,"Site navigation label, not a resource"
https://paperswithcode.com/inference/models,Inference Providers,Dataset,2026-09-08,"Site navigation label, not a resource"
https://learningcommons.org/knowledge-graph/,Knowledge Graph,Dataset,2026-09-08,"Site navigation label, not a resource"
https://huggingface.co/datasets/robworks-software/k12-comprehensive-educational-dataset,robworks-software/k12-comprehensive-educational-dataset,Dataset,2026-09-08,"Gated on Hugging Face (HTTP 401) - requires login, not public"
https://huggingface.co/datasets/Glint-Research/Fable-5-traces,HuggingFace: Glint-Research/Fable-5-traces,Dataset,2026-09-08,"Gated on Hugging Face (HTTP 401) - requires login, not public"
